"astro-ph/0610637","Stefano Bagnulo","L. Fossati, S. Bagnulo, E. Mason, E. Landi Degl'Innocenti","Standard stars for linear polarization","to be published in: ""The Future of Photometric, Spectrophotometric,
  and Polarimetric Standardization"", ASP Conference Series, C. Sterken (ed.)",,,,"astro-ph",,"  We present the analysis of the observations of standard stars for linear
polarization obtained from 1999 to 2005 within the context of the calibration
plan of the FORS1 instrument of the ESO VLT. We have considered observations
carried out both in imaging polarimetric and in spectropolarimetric mode.
Broadband polarization was obtained in the Bessel BVRI filters;
spectropolarimetry was obtained with various grisms covering different optical
ranges and with a typical resolution of a few hundreds. Spectropolarimetric
data have been convolved with the transmission functions of the Bessel filters,
which enabled us to calculate polarization values equivalent to broadband
polarization measurements in imaging mode. Finally, for each star, instrument
mode, and for each Bessel filter band, we have calculated an average
polarization value obtained after filtering all available data with a k-sigma
clipping algorithm.
","[{""version"":""v1"",""created"":""Sun, 22 Oct 2006 16:23:34 GMT""}]","2007-05-23"
"astro-ph/0610657","Neven Bilic","Neven Bilic","Black-Hole Phenomenology","58 pages, 4 figures, notes to the lectures given at the School on
  Particle Physics, Gravity and Cosmology, Dubrovnik, 21 Aug - 2 Sept 2006,
  references added, typos corrected, to appear in the proceedings of the
  school, comments welcome","PoSP2GC:004,2006",,,"astro-ph gr-qc",,"  This set of lectures is an introduction to black-hole astrophysics. The
emphasis is made on the phenomenology of X-ray binaries and of supermassive
compact objects at galactic centers.
","[{""version"":""v1"",""created"":""Mon, 23 Oct 2006 15:10:46 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 2006 11:51:22 GMT""}]","2008-11-26"
"astro-ph/0610668","Ing-Guey Jiang","Ing-Guey Jiang (1) and Li-Chin Yeh (2) ((1)National Tsing-Hua
  University, Taiwan, (2)National Hsinchu University of Education, Taiwan)","A Possible Correlation between the Gaseous Drag Strength and Resonant
  Planetesimals in Planetary Systems","accepted for publication in The Astrophysical Journal","Astrophys.J.656:534-544,2007","10.1086/510420",,"astro-ph",,"  We study the migration and resonant capture of planetesimals in a planetary
system consisting of a gaseous disc analogous to the primordial solar nebula
and a Neptune-like planet. Using a simple treatment of the drag force we find
that planetesimals are mainly trapped in the 3:2 and 2:1 resonances and that
the resonant populations are correlated with the gaseous drag strength in a
sense that the 3:2 resonant population increases with the stronger gaseous
drag, but the 2:1 resonant population does not. Since planetesimals can lead to
the formation of larger bodies similar to asteroids and Kuiper Belt Objects,
the gaseous drag can play an important role in the configuration of a planetary
system.
","[{""version"":""v1"",""created"":""Mon, 23 Oct 2006 03:23:09 GMT""}]","2008-11-26"
"astro-ph/0610669","Shinji Horiuchi","S. Horiuchi, S.J. Tingay, C.J. West (1), A.K. Tzioumis, C.J. Phillips,
  J.E.J. Lovell, J.E. Reynolds (2), S.P. Ellingsen, P.B. Reid, G. Cimo (3),
  J.F.H. Quick (4), Y. Koyama (5), F.H. Briggs (6), W.F. Brisken (7) ((1)
  Swinburne Univ. of Technology, (2) ATNF/CSIRO, (3) Univ. of Tasmania, (4)
  Hart.RAO, (5) NICT, (6) ANU, (7) NRAO)","The pc-scale structure and evolution of BL Lac PKS 0003-066","25 pages, 13 figures, submitted to ApJ Supplement Series",,,,"astro-ph",,"  We present the results of global VLBI observations of the BL Lac object PKS
0003-066 at 2.3 and 8.6 GHz, over a 10 year period using data from new and
archived VLBA, geodetic VLBI, and global VLBI (including the use of new
disk-based recording and software correlation systems) observations.
Inter-continental baselines resolve this source into a compact core and three
jet components that move away from the core with proper motions ranging between
\~0.1 mas/yr for the outer jet component and ~1.4 mas/yr for the fastest inner
jet component, i.e. apparent speeds of ~2.0 c to ~21.6 c respectively. This
result is in contrast to previous studies of this source which did not reveal
significant jet motions from limited data sets. We find that the fast inner jet
components catch up to the more slowly moving outer jet components and interact
strongly, causing local brightening of the jet in the interaction. We document
the body of VLBI data for this source, as well as other supporting radio
observations, as a basis for future work that will investigate the underlying
physics of the pc-scale jet in PKS 0003-066.
","[{""version"":""v1"",""created"":""Mon, 23 Oct 2006 13:56:01 GMT""}]","2007-05-23"
"astro-ph/0610670","Yutaka Komiya","Yutaka Komiya, Takuma Suda, Hiroki Minaguchi, Toshikazu Shigeyama,
  Wako Aoki, and Masayuki Y. Fujimoto","The Origin of Carbon-Enhancement and Initial Mass Function of Extremely
  Metal-Poor Stars in the Galactic Halo","66 pages, 12 figures, 2 tables Accepted for publication in ApJ","Astrophys.J.658:367-390,2007","10.1086/510826",,"astro-ph",,"  It is known that the carbon-enhanced, extremely metal-poor (CEMP) stars
constitute a substantial proportion in the extremely metal-poor (EMP) stars of
the Galactic Halo, by far larger than CH stars in Population II stars. We
investigate their origin with taking into account an additional evolutionary
path to the surface carbon-enrichment, triggered by hydrogen engulfment by the
helium flash convection, in EMP stars of $[Fe/H] \lesssim -2.5$. This process
is distinct from the third dredge-up operating in more metal-rich stars and
also in EMP stars. In binary systems of EMP stars, the secondary stars become
CEMP stars through mass transfer from the primary stars of low and intermediate
masses, which have developed the surface carbon-enhancement. Our binary
scenario can predict the variations in the abundances not only for carbon but
also for nitrogen and s-process elements and reasonably explain the observed
properties such as the stellar distributions with respect to the carbon
abundances, the binary periods, and the evolutionary stages. Furthermore, from
the observed frequencies of CEMP stars with and without s-process element
enhancement, we demonstrate that the initial mass function of EMP stars need to
give the mean mass $~10\msun$ under the reasonable assumptions on the
distributions of orbital separations and mass ratio of binary components. This
also indicates that the currently observed EMP stars were exclusively born as
the secondary members of binaries, making up $\sim 10%$ remnants of EMP binary
systems of mass $~10^8\msun$ in total; in addition to CEMP stars with white
dwarf companions, a significant fraction of them have experienced supernova
explosions of their companions. We discuss the implications of the present
results in relation to the formation of Galactic halo.
","[{""version"":""v1"",""created"":""Mon, 23 Oct 2006 09:14:28 GMT""}]","2010-11-05"
"astro-ph/0610671","Zhang Yi Dr.","Tibet AS-gamma Collaboration, M. Amenomori, et al","Anisotropy and Corotation of Galactic Cosmic Rays",,"Science314:439-443,2006","10.1126/SCIENCE.1131702",,"astro-ph",,"  The intensity of Galactic cosmic rays is nearly isotropic because of the
influence of magnetic fields in the Milky Way. Here, we present two-dimensional
high-precision anisotropy measurement for energies from a few to several
hundred teraelectronvolts (TeV), using the large data sample of the Tibet Air
Shower Arrays. Besides revealing finer details of the known anisotropies, a new
component of Galactic cosmic ray anisotropy in sidereal time is uncovered
around the Cygnus region direction. For cosmic-ray energies up to a few hundred
TeV, all components of anisotropies fade away, showing a corotation of Galactic
cosmic rays with the local Galactic magnetic environment. These results have
broad implications for a comprehensive understanding of cosmic rays,
supernovae, magnetic fields, and heliospheric and Galactic dynamic
environments.
","[{""version"":""v1"",""created"":""Mon, 23 Oct 2006 10:19:47 GMT""}]","2008-11-26"
"astro-ph/0610672","Christian Brinch","C. Brinch, A. Crapsi, M. R. Hogerheijde, J. K. Jorgensen","Structure and dynamics of the class I young stellar object L1489 IRS","Accepted by A&A, 10 Nov, 2006, 12 pages",,"10.1051/0004-6361:20065473",,"astro-ph",,"  We investigate the velocity transition in the low-mass protostar L1489 IRS,
which is known to be embedded in a flattened, disc-like structure that shows
both infall and rotation. We construct a model for L1489 IRS consisting of an
flattened envelope and a velocity field that can vary from pure infall to pure
rotation. We obtain best-fit parameters by comparison to 24 molecular
transitions from the literature, and using a molecular excitation code and a
Voronoi optimisation algorithm. We test the model against existing millimeter
interferometric observations, near-infrared scattered light imaging, and 12CO
ro-vibrational lines.We find that L1489 IRS is well described by a central
stellar mass of 1.3M$_\odot$ surrounded by a 0.10M$_\odot$ flattened envelope
with approximate scale height h\approx 0.57 R, inclined at 74^\circ. The
velocity field is strongly dominated by rotation, with the velocity vector
making an angle of 15^\circ with the azimuthal direction. Reproducing
low-excitation transitions requires that the emission and absorption by the
starless core 1' (8400 AU) east of L1489 IRS is included properly, implying
that L1489 IRS is located partially behind this core. We speculate that L1489
IRS was originally formed closer to the center of this core, but has migrated
to its current position over the past few times 10^5 yr, consistent with their
radial velocity difference of 0.4 kms-1. This suggests that L1489 IRS' unusual
appearance may be result of its migration, and that it would appear as a
`normal' embedded protostar if it were still surrounded by an extended cloud
core. Conversely, we hypothesize that the inner envelopes of embedded
protostars resemble the rotating structure seen around L1489 IRS.
","[{""version"":""v1"",""created"":""Mon, 23 Oct 2006 11:46:07 GMT""}]","2009-11-11"
"astro-ph/0610673","Bob Barber","R.J. Barber, S. Miller, T.S. Stallard, J. Tennyson","Previously unobserved water lines detected in the post-impact spectrum
  of Comet Tempel 1","This paper has been submitted to the conference proceedings:
  Springer-Verlag ESO Astrophysical Symposia Series (Deep Impact a a World
  Observatory Event) ed. Kaufl U., Sterken C. Please not that the title as it
  will appear in this publication omits the reference to Comet Tempel 1, as
  this is implicit in the the title of the Proceedings",,,,"astro-ph",,"  The recently puplished Barber-Tennyson (BT2) synthetic H$_2$O water line list
is the most complete and accurate line list in existence. It is finding
application in a wide range of astrophysical environments.
  UKIRT spectra of comet Tempel 1, obtained after the 'Deep Impact' event,
revealed several known H$_2$O solar pumped fluorescent (SPF)lines in the 2.8945
to 2.8985 $\mu$m region. In addition, using synthetic spectra produced with
BT2, several emission lines were identified that had not previously been
recorded in cometary spectra. Unlike the SPF lines, which are transitions from
doubly-excited stretch states, these transitions, that we label 'SH', are from
states with three or four quanta of vibrational excitation. The SH features
were particularly strong during the period 20-40 minutes after impact.
","[{""version"":""v1"",""created"":""Mon, 23 Oct 2006 12:35:34 GMT""}]","2007-05-23"
"astro-ph/0610674","Dominique Aubert","Dominique Aubert (Observatoire de Strasbourg) & Christophe Pichon
  (IAP)","Dynamical flows through Dark Matter Haloes II: one and two points
  statistics at the virial radius","34 pages, 29 figures, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc.374:877-909,2007","10.1111/j.1365-2966.2006.11203.x",,"astro-ph",,"  In a serie of three papers, the dynamical interplay between environments and
dark matter haloes is investigated, while focussing on the dynamical flows
through their virial sphere. Our method relies on both cosmological
simulations, to constrain the environments, and an extension to the classical
matrix method to derive the response of the halo (see Pichon & Aubert (2006),
paper I).
  The current paper focuses on the statistical characterisation of the
environments surrounding haloes, using a set of large scale simulations. Our
description relies on a `fluid' halocentric representation where the
interactions between the halo and its environment are investigated in terms of
a time dependent external tidal field and a source term characterizing the
infall. The method is applied to 15000 haloes, with masses between 5 x 10^12 Ms
and 10^14 Ms evolving between z = 1 and z = 0.
  The net accretion at the virial radius is found to decrease with time,
resulting from both an absolute decrease of infall and from a growing
contribution of outflows. Infall is found to be mainly radial and occurring at
velocities ~ 0.75 V200. Outflows are also detected through the virial sphere
and occur at lower velocities ~ 0.6 V200 on more circular orbits. The external
tidal field is found to be strongly quadrupolar and mostly stationnary,
possibly reflecting the distribution of matter in the halo's near environment.
The coherence time of the small scale fluctuations of the potential hints a
possible anisotropic distribution of accreted satellites. The flux density of
mass on the virial sphere appears to be more clustered than the potential while
the shape of its angular power spectrum seems stationnary.
","[{""version"":""v1"",""created"":""Mon, 23 Oct 2006 13:15:21 GMT""}]","2008-11-26"
"astro-ph/0610676","Joss Bland-Hawthorn","Joss Bland-Hawthorn (AAO), Ken Freeman (MSO)","Galactic History: Formation and Evolution","Invited Talk, 8 pages, 1 figure, Joint Discussion 13, IAU General
  Assembly XXVI, Prague",,,,"astro-ph",,"  We explore the motivation behind large stellar surveys in Galactic astronomy,
in particular, surveys that measure the photometric, phase space and abundance
properties of thousands or millions of stars. These observations are essential
to unravelling the sequence of events involved in galaxy formation and
evolution, although disentangling key signatures from the complexity continues
to be very challenging. The new data will require major advances in our
understanding of stellar atmospheres, stellar chemistry, the dynamics of the
Galaxy and the Local Group.
","[{""version"":""v1"",""created"":""Mon, 23 Oct 2006 13:37:16 GMT""}]","2007-05-23"
