"astro-ph/0606496","Michael Zingale","A. S. Almgren, J. B. Bell, C. A. Rendleman, M. Zingale","Low Mach Number Modeling of Type Ia Supernovae. II. Energy Evolution","30 pages; accepted to the Astrophysical Journal","Astrophys.J.649:927-938,2006","10.1086/507089",,"astro-ph",,"  The convective period leading up to a Type Ia supernova (SN Ia) explosion is
characterized by very low Mach number flows, requiring hydrodynamical methods
well-suited to long-time integration. We continue the development of the low
Mach number equation set for stellar scale flows by incorporating the effects
of heat release due to external sources. Low Mach number hydrodynamics
equations with a time-dependent background state are derived, and a numerical
method based on the approximate projection formalism is presented. We
demonstrate through validation with a fully compressible hydrodynamics code
that this low Mach number model accurately captures the expansion of the
stellar atmosphere as well as the local dynamics due to external heat sources.
This algorithm provides the basis for an efficient simulation tool for studying
the ignition of SNe Ia.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 16:52:08 GMT""}]","2008-11-26"
"astro-ph/0606527","Nicole Nesvadba","N.P.H. Nesvadba, M.D. Lehnert, F. Eisenhauer, R. Genzel, S. Seitz,
  R.I. Davies, R.P. Saglia, D. Lutz, L. Tacconi, R. Bender, R. Abuter","Lyman Break Galaxies Under a Microscope: The Small Scale Dynamics and
  Mass of an Arc in the Cluster 1E0657-56","Accepted for publication in the Astrophysical Journal","Astrophys.J.650:661-668,2006","10.1086/507090",,"astro-ph",,"  Using the near-infrared integral-field spectrograph SPIFFI on the VLT, we
have studied the spatially-resolved dynamics in the z=3.2 strongly lensed
galaxy 1E0657-56 ``arc+core''. The lensing configuration suggests that the high
surface brightness ``core'' is the M=20 magnified central 1 kpc of the galaxy
(seen at a spatial resolution of about 200 pc in the source plane), whereas the
fainter ``arc'' is a more strongly magnified peripheral region of the same
galaxy at about a half-light radius, which otherwise appears to be a typical
z=3 Lyman break galaxy.
  The overall shape of the position-velocity diagram resembles the ``rotation
curves'' of the inner few kpcs of nearby L* spiral galaxies. The projected
velocities rise rapidly to 75 km/s within the core. This implies a dynamical
mass of M_dyn = 10^9.3 M_sun within the central kpc, and suggests that in this
system the equivalent of the mass of a present-day L* bulge at the same radius
was already in place by z>=3. Approximating the circular velocity of the halo
by the measured asymptotic velocity of the rotation curve, we estimate a dark
matter halo mass of M_halo = 10^11.7 +/- 0.3, in good agreement with
large-scale clustering studies of Lyman break galaxies. The baryonic collapse
fraction is low compared to actively star-forming ``BX'' and low-redshift
galaxies around z=2, perhaps implying comparatively less gas infall to small
radii or efficient feedback. Even more speculatively, the high central mass
density might indicate highly dissipative gas collapse in very early stages of
galaxy evolution, in approximate agreement with what is expected for
``inside-out'' galaxy formation models.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 16:20:30 GMT""}]","2008-11-26"
"astro-ph/0606528","Jeremy S. Sanders","J.S. Sanders (IoA, Cambridge)","Contour binning: a new technique for spatially-resolved X-ray
  spectroscopy applied to Cassiopeia A","Accepted by MNRAS, 14 pages, colour, high quality and B&W versions
  available at http://www-xray.ast.cam.ac.uk/papers/contbin/","Mon.Not.Roy.Astron.Soc.371:829-842,2006","10.1111/j.1365-2966.2006.10716.x",,"astro-ph",,"  We present a new technique for choosing spatial regions for X-ray
spectroscopy, called ""contour binning"". The method chooses regions by following
contours on a smoothed image of the object. In addition we re-explore a simple
method for adaptively smoothing X-ray images according to the local count rate,
we term ""accumulative smoothing"", which is a generalisation of the method used
by FADAPT. The algorithms are tested by applying them to a simulated cluster
data set. We illustrate the techniques by using them on a 50 ks Chandra
observation of the Cassiopeia A supernova remnant. Generated maps of the object
showing abundances in eight different elements, absorbing column density,
temperature, ionisation timescale and velocity are presented. Tests show that
contour binning reproduces surface brightness considerably better than other
methods. It is particularly suited to objects with detailed spatial structure
such as supernova remnants and the cores of galaxy clusters, producing
aesthetically pleasing results.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 17:31:59 GMT""}]","2009-11-11"
"astro-ph/0606529","Artyom Yurov","Artyom V. Yurov, Prado Martin Moruno, Pedro F. Gonzalez-Diaz","New ""Bigs"" in cosmology","7 figures, 13 pages, RevTeX","Nucl.Phys.B759:320-341,2006","10.1016/j.nuclphysb.2006.10.021",,"astro-ph",,"  This paper contains a detailed discussion on new cosmic solutions describing
the early and late evolution of a universe that is filled with a kind of dark
energy that may or may not satisfy the energy conditions. The main distinctive
property of the resulting space-times is that they make to appear twice the
single singular events predicted by the corresponding quintessential (phantom)
models in a manner which can be made symmetric with respect to the origin of
cosmic time. Thus, big bang and big rip singularity are shown to take place
twice, one on the positive branch of time and the other on the negative one. We
have also considered dark energy and phantom energy accretion onto black holes
and wormholes in the context of these new cosmic solutions. It is seen that the
space-times of these holes would then undergo swelling processes leading to big
trip and big hole events taking place on distinct epochs along the evolution of
the universe. In this way, the possibility is considered that the past and
future be connected in a non-paradoxical manner in the universes described by
means of the new symmetric solutions.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 17:39:07 GMT""}]","2008-11-26"
"astro-ph/0606530","Nicole Nesvadba","N.P.H.Nesvadba, M.D.Lehnert, F.Eisenhauer, A.Gilbert, M.Tecza,
  R.Abuter","Extreme gas kinematics in the z=2.2 powerful radio galaxy MRC1138-262:
  Evidence for efficient AGN feedback in the early Universe?","Accepted for publication in the Astrophysical Journal","Astrophys.J.650:693-705,2006","10.1086/507266",,"astro-ph",,"  To explain the properties of the most massive low-redshift galaxies and the
shape of their mass function, recent models of galaxy evolution include strong
AGN feedback to complement starburst-driven feedback in massive galaxies. Using
the near-infrared integral-field spectrograph SPIFFI on the VLT, we searched
for direct evidence for such a feedback in the optical emission line gas around
the z=2.16 powerful radio galaxy MRC1138-262, likely a massive galaxy in
formation. The kpc-scale kinematics, with FWHMs and relative velocities <= 2400
km/s and nearly spherical spatial distribution, do not resemble large-scale
gravitational motion or starburst-driven winds. Order-of-magnitude timescale
and energy arguments favor the AGN as the only plausible candidate to
accelerate the gas, with a total energy injection of a few x 10^60 ergs or
more, necessary to power the outflow, and relatively efficient coupling between
radio jet and ISM. Observed outflow properties are in gross agreement with the
models, and suggest that AGN winds might have a similar, or perhaps larger,
cosmological significance than starburst-driven winds, if MRC1138-262 is indeed
archetypal. Moreover, the outflow has the potential to remove significant gas
fractions (<= 50%) from a >L* galaxy within a few 10 to 100 Myrs, fast enough
to preserve the observed [alpha/Fe] overabundance in massive galaxies at low
redshift. Using simple arguments, it appears that feedback like that observed
in MRC1138-262 may have sufficient energy to inhibit material from infalling
into the dark matter halo and thus regulate galaxy growth as required in some
recent models of hierarchical structure formation.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 17:48:04 GMT""}]","2008-11-26"
"astro-ph/0606531","Laura Portinari","Laura Portinari, Jesper Sommer-Larsen","The Tully-Fisher relation and its evolution with redshift in
  cosmological simulations of disc galaxy formation","14 pages, 6 figures; minor revisions and added references; version
  accepted for publication on MNRAS. Fig. 1,2,3,4 available also in colour
  version from the source files","Mon.Not.Roy.Astron.Soc.375:913-924,2007","10.1111/j.1365-2966.2006.11348.x",,"astro-ph",,"  We present predictions on the evolution of the Tully-Fisher (TF) relation
with redshift, based on cosmological N-body/hydrodynamical simulations of disc
galaxy formation and evolution. The simulations invoke star formation and
stellar feedback, chemical evolution with non-instantaneous recycling,
metallicity dependent radiative cooling and effects of a meta-galactic UV
field, including simplified radiative transfer.
  At z=0, the simulated and empirical TF relations are offset by about 0.4
magnitudes (1 sigma) in the B and I bands. The origin of these offsets is
somewhat unclear, but it may not necessarily be a problem of the simulations
only.
  As to evolution, we find a brightening of the TF relation between z=0 and z=1
of about 0.85 mag in rest-frame B band, with a non-evolving slope. The
brightening we predict is intermediate between the (still quite discrepant)
observational estimates.
  This evolution is primarily a luminosity effect, while the stellar mass TF
relation shows negligible evolution. The individual galaxies do gain stellar
mass between z=1 and z=0, by a 50-100%; but they also correspondingly increase
their characteristic circular speed. As a consequence, individually they mainly
evolve ALONG the stellar mass TF relation, while the relation as such does not
show any significant evolution.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 18:21:58 GMT""},{""version"":""v2"",""created"":""Wed, 29 Nov 2006 10:31:47 GMT""}]","2008-11-26"
"astro-ph/0606532","Toshiya Ueta","Toshiya Ueta","Spitzer/MIPS Imaging of NGC 650: Probing the History of Mass Loss on the
  Asymptotic Giant Branch","9 pages in the emulated ApJ format with 6 figures, to appear in ApJ","Astrophys.J.650:228-236,2006","10.1086/507092",,"astro-ph",,"  We present the far-infrared (IR) maps of a bipolar planetary nebula (PN), NGC
650, at 24, 70, and 160 micron taken with the Multiband Imaging Photometer for
Spitzer (MIPS) on-board the Spitzer Space Telescope. While the two-peak
emission structure seen in all MIPS bands suggests the presence of a near
edge-on dusty torus, the distinct emission structure between the 24 micron map
and the 70/160 micron maps indicates the presence of two distinct emission
components in the central torus. Based on the spatial correlation of these two
far-IR emission components with respect to various optical line emission, we
conclude that the 24 micron emission is largely due to the [O IV] line at 25.9
micron arising from highly ionized regions behind the ionization front, whereas
the 70 and 160 micron emission is due to dust continuum arising from
low-temperature dust in the remnant asymptotic giant branch (AGB) wind shell.
The far-IR nebula structure also suggests that the enhancement of mass loss at
the end of the AGB phase has occurred isotropically, but has ensued only in the
equatorial directions while ceasing in the polar directions. The present data
also show evidence for the prolate spheroidal distribution of matter in this
bipolar PN. The AGB mass loss history reconstructed in this PN is thus
consistent with what has been previously proposed based on the past optical and
mid-IR imaging surveys of the post-AGB shells.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 19:58:21 GMT""}]","2008-11-26"
"astro-ph/0606533","Masahiro Takada","Masahiro Takada (Tohoku Univ., Japan)","Can a galaxy redshift survey measure dark energy clustering?","14 pages, 7 figures; minor changes to match the published version","Phys.Rev. D74 (2006) 043505","10.1103/PhysRevD.74.043505",,"astro-ph",,"  (abridged) A wide-field galaxy redshift survey allows one to probe galaxy
clustering at largest spatial scales, which carries an invaluable information
on horizon-scale physics complementarily to the cosmic microwave background
(CMB). Assuming the planned survey consisting of z~1 and z~3 surveys with areas
of 2000 and 300 square degrees, respectively, we study the prospects for
probing dark energy clustering from the measured galaxy power spectrum,
assuming the dynamical properties of dark energy are specified in terms of the
equation of state and the effective sound speed c_e in the context of an
adiabatic cold dark matter dominated model. The dark energy clustering adds a
power to the galaxy power spectrum amplitude at spatial scales greater than the
sound horizon, and the enhancement is sensitive to redshift evolution of the
net dark energy density, i.e. the equation of state. We find that the galaxy
survey, when combined with Planck, can distinguish dark energy clustering from
a smooth dark energy model such as the quintessence model (c_e=1), when
c_e<0.04 (0.02) in the case of the constant equation of state w_0=-0.9 (-0.95).
An ultimate full-sky survey of z~1 galaxies allows the detection when c_e<0.08
(0.04) for w_0=0.9 (-0.95). We also investigate a degeneracy between the dark
energy clustering and the non-relativistic neutrinos implied from the neutrino
oscillation experiments, because the two effects both induce a scale-dependent
modification in the galaxy power spectrum shape at largest spatial scales
accessible from the galaxy survey. It is shown that a wider redshift coverage
can efficiently separate the two effects by utilizing the different redshift
dependences, where dark energy clustering is apparent only at low redshifts
z<1.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 20:55:45 GMT""},{""version"":""v2"",""created"":""Fri, 23 Jun 2006 06:34:52 GMT""},{""version"":""v3"",""created"":""Fri, 14 Jul 2006 21:28:57 GMT""},{""version"":""v4"",""created"":""Wed, 23 Aug 2006 18:01:17 GMT""}]","2009-11-11"
"astro-ph/0606535","Nicos Pelavas","A. A. Coley and N. Pelavas","Averaging Spherically Symmetric Spacetimes in General Relativity","6 pages","Phys.Rev. D74 (2006) 087301","10.1103/PhysRevD.74.087301",,"astro-ph",,"  We discuss the averaging problem in general relativity, using the form of the
macroscopic gravity equations in the case of spherical symmetry in volume
preserving coordinates. In particular, we calculate the form of the correlation
tensor under some reasonable assumptions on the form for the inhomogeneous
gravitational field and matter distribution. On cosmological scales, the
correlation tensor in a Friedmann-Lema\^{\i}tre-Robertson-Walker (FLRW)
background is found to be of the form of a spatial curvature. On astrophysical
scales the correlation tensor can be interpreted as the sum of a spatial
curvature and an anisotropic fluid. We briefly discuss the physical
implications of these results.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 20:11:41 GMT""}]","2009-11-11"
"astro-ph/0606536","Gregory Rudnick","Gregory Rudnick, Ivo Labbe, Natascha M. Foerster Schreiber, Stijn
  Wuyts, Marijn Franx, Kristian Finlator, Mariska Kriek, Alan Moorwood,
  Hans-Walter Rix, Huub Roettgering, Ignacio Trujillo, Arjen van der Wel, Paul
  van der Werf, and Pieter G. van Dokkum","Measuring the Average Evolution of Luminous Galaxies at z<3: The
  Rest-frame Optical Luminosity Density, Spectral Energy Distribution, and
  Stellar Mass Density","Accepted for publication in the Astrophysical Journal, 24 pages, 16
  figures","Astrophys.J.650:624-643,2006","10.1086/507123",,"astro-ph",,"  (Abridged) We present the evolution of the volume averaged properties of the
rest-frame optically luminous galaxy population to z~3, determined from four
disjoint deep fields with optical to near-infrared wavelength coverage. We
select galaxies above a rest-frame V-band luminosity of 3x10^10 Lsol and
characterize their rest-frame UV through optical properties via the mean
spectral energy distribution (SED). To measure evolution we apply the same
selection criteria to a sample of galaxies from the Sloan Digital Sky Survey
and COMBO-17. The mean rest-frame 2200Ang through V-band SED becomes steadily
bluer with increasing redshift but at z<3 the mean SED falls within the range
defined by ``normal'' galaxies in the nearby Universe. We measure stellar
mass-to-light ratios (Mstar/L) by fitting models to the rest-frame UV-optical
SEDs and derive the stellar mass density. The stellar mass density in luminous
galaxies has increased by a factor of 3.5-7.9 from z=3 to z=0.1, including
field-to-field variance uncertainties. After correcting to total, the measured
mass densities at z<2 lie below the integral of the star formation rate (SFR)
density as a function of redshift as derived from UV selected samples. This may
indicate a systematic error in the mass densities or SFR(z) estimates. We find
large discrepancies between recent model predictions for the evolution of the
mass density and our results, even when our observational selection is applied
to the models. Finally we determine that Distant Red Galaxies (selected to have
J_s - K_s>2.3) in our LV selected samples contribute 30% and 64% of the stellar
mass budget at z~2 and z~ 2.8 respectively. These galaxies are largely absent
from UV surveys and this result highlights the need for mass selection of high
redshift galaxies.
","[{""version"":""v1"",""created"":""Wed, 21 Jun 2006 20:23:07 GMT""}]","2008-11-26"
